Class      | Recall  | Precision | F1 Score | Accuracy
-------------------------------------------------------
Epoch 1
HAC        | 0.8541 | 0.8581 | 0.8542 | 0.8541
KSC        | 0.8541 | 0.8581 | 0.8542 | 0.8541
LYI        | 0.8541 | 0.8581 | 0.8542 | 0.8541
LYT        | 0.8541 | 0.8581 | 0.8542 | 0.8541
MMZ        | 0.8541 | 0.8581 | 0.8542 | 0.8541
MON        | 0.8541 | 0.8581 | 0.8542 | 0.8541
MYB        | 0.8541 | 0.8581 | 0.8542 | 0.8541
NGB        | 0.8541 | 0.8581 | 0.8542 | 0.8541
NGS        | 0.8541 | 0.8581 | 0.8542 | 0.8541
NIF        | 0.8541 | 0.8581 | 0.8542 | 0.8541
OTH        | 0.8541 | 0.8581 | 0.8542 | 0.8541
PEB        | 0.8541 | 0.8581 | 0.8542 | 0.8541
PLM        | 0.8541 | 0.8581 | 0.8542 | 0.8541
PMO        | 0.8541 | 0.8581 | 0.8542 | 0.8541

Epoch 11
ABE        | 0.8535 | 0.8544 | 0.8517 | 0.8535
ART        | 0.8535 | 0.8544 | 0.8517 | 0.8535
BAS        | 0.8535 | 0.8544 | 0.8517 | 0.8535
BLA        | 0.8535 | 0.8544 | 0.8517 | 0.8535
EBO        | 0.8535 | 0.8544 | 0.8517 | 0.8535
EOS        | 0.8535 | 0.8544 | 0.8517 | 0.8535
FGC        | 0.8535 | 0.8544 | 0.8517 | 0.8535
HAC        | 0.8535 | 0.8544 | 0.8517 | 0.8535
KSC        | 0.8535 | 0.8544 | 0.8517 | 0.8535
LYI        | 0.8535 | 0.8544 | 0.8517 | 0.8535
LYT        | 0.8535 | 0.8544 | 0.8517 | 0.8535
MMZ        | 0.8535 | 0.8544 | 0.8517 | 0.8535
MON        | 0.8535 | 0.8544 | 0.8517 | 0.8535
MYB        | 0.8535 | 0.8544 | 0.8517 | 0.8535
NGB        | 0.8535 | 0.8544 | 0.8517 | 0.8535
NGS        | 0.8535 | 0.8544 | 0.8517 | 0.8535
NIF        | 0.8535 | 0.8544 | 0.8517 | 0.8535
OTH        | 0.8535 | 0.8544 | 0.8517 | 0.8535
PEB        | 0.8535 | 0.8544 | 0.8517 | 0.8535
PLM        | 0.8535 | 0.8544 | 0.8517 | 0.8535
PMO        | 0.8535 | 0.8544 | 0.8517 | 0.8535

Epoch 12
ABE        | 0.8458 | 0.8460 | 0.8434 | 0.8458
ART        | 0.8458 | 0.8460 | 0.8434 | 0.8458
BAS        | 0.8458 | 0.8460 | 0.8434 | 0.8458
BLA        | 0.8458 | 0.8460 | 0.8434 | 0.8458
EBO        | 0.8458 | 0.8460 | 0.8434 | 0.8458
